Country,2019,2019_lower,2019_upper,2020,2020_lower,2020_upper,2021,2021_lower,2021_upper,2022,2022_lower,2022_upper,2023,2023_lower,2023_upper,2024,2024_lower,2024_upper,2025,2025_lower,2025_upper
Argentina,-0.217,-0.224,-0.209,-0.184,-0.191,-0.176,-0.151,-0.158,-0.144,-0.118,-0.125,-0.111,-0.085,-0.092,-0.078,-0.052,-0.059,-0.045,-0.019,-0.026,-0.012
Brazil,-0.186,-0.19,-0.183,-0.163,-0.167,-0.16,-0.14,-0.143,-0.137,-0.117,-0.12,-0.114,-0.094,-0.097,-0.091,-0.071,-0.074,-0.068,-0.048,-0.051,-0.044
Canada,-0.08,-0.082,-0.078,-0.055,-0.057,-0.053,-0.03,-0.032,-0.028,-0.004,-0.006,-0.003,0.021,0.019,0.023,0.046,0.044,0.048,0.071,0.069,0.073
France,-0.185,-0.189,-0.181,-0.147,-0.151,-0.143,-0.109,-0.113,-0.106,-0.072,-0.075,-0.068,-0.034,-0.038,-0.03,0.004,0,0.007,0.041,0.038,0.045
Germany,-0.132,-0.136,-0.128,-0.099,-0.103,-0.096,-0.067,-0.07,-0.063,-0.034,-0.037,-0.031,-0.001,-0.004,0.002,0.031,0.028,0.035,0.064,0.061,0.067
Italy,-0.152,-0.154,-0.149,-0.126,-0.128,-0.124,-0.101,-0.103,-0.099,-0.075,-0.077,-0.073,-0.05,-0.052,-0.048,-0.024,-0.026,-0.022,0.001,-0.001,0.003
Japan,-0.173,-0.176,-0.171,-0.154,-0.157,-0.152,-0.135,-0.137,-0.133,-0.115,-0.118,-0.113,-0.096,-0.098,-0.094,-0.077,-0.079,-0.075,-0.058,-0.06,-0.055
Mexico,-0.156,-0.16,-0.152,-0.125,-0.129,-0.121,-0.094,-0.098,-0.091,-0.063,-0.067,-0.06,-0.032,-0.036,-0.029,-0.001,-0.005,0.002,0.029,0.026,0.033
Spain,-0.112,-0.114,-0.109,-0.098,-0.1,-0.096,-0.084,-0.086,-0.082,-0.07,-0.072,-0.068,-0.056,-0.058,-0.054,-0.042,-0.044,-0.04,-0.028,-0.03,-0.026
Turkey,-0.163,-0.168,-0.158,-0.137,-0.142,-0.133,-0.112,-0.116,-0.108,-0.087,-0.091,-0.083,-0.061,-0.065,-0.057,-0.036,-0.04,-0.032,-0.01,-0.015,-0.006
United Kingdom,-0.041,-0.043,-0.039,-0.022,-0.024,-0.02,-0.004,-0.005,-0.002,0.015,0.013,0.017,0.034,0.032,0.035,0.052,0.051,0.054,0.071,0.069,0.073
United States,-0.103,-0.105,-0.101,-0.078,-0.08,-0.076,-0.054,-0.056,-0.052,-0.029,-0.031,-0.028,-0.005,-0.007,-0.003,0.019,0.018,0.021,0.044,0.042,0.045
